date,home_team,away_team,home_score,away_score,tournament,country,neutral
2021-11-12,Uruguay,Argentina,0,1,World Cup qualifier,Uruguay,False
2021-11-14,Spain,Sweden,1,0,World Cup qualifier,Spain,False
2021-11-16,Argentina,Brazil,0,0,World Cup qualifier,Argentina,False
2022-01-27,Chile,Argentina,1,2,World Cup qualifier,Chile,False
2022-02-01,Argentina,Colombia,1,0,World Cup qualifier,Argentina,False
2022-03-25,Argentina,Venezuela,3,0,World Cup qualifier,Argentina,False
2022-03-26,Spain,Albania,2,1,Friendly,Spain,False
2022-03-29,Ecuador,Argentina,1,1,World Cup qualifier,Ecuador,False
2022-03-29,Spain,Iceland,5,0,Friendly,Spain,False
2022-06-01,Argentina,Italy,3,0,Intercontinental Champ,England,True
2022-06-02,Spain,Portugal,1,1,European Nations League A,Spain,False
2022-06-05,Argentina,Estonia,5,0,Friendly,Spain,True
2022-06-05,Czechia,Spain,2,2,European Nations League A,Czechia,False
2022-06-09,Switzerland,Spain,0,1,European Nations League A,Switzerland,False
2022-06-12,Spain,Czechia,2,0,European Nations League A,Spain,False
2022-09-23,Argentina,Honduras,3,0,Friendly,United States,True
2022-09-24,Spain,Switzerland,1,2,European Nations League A,Spain,False
2022-09-27,Argentina,Jamaica,3,0,Friendly,United States,True
2022-09-27,Portugal,Spain,0,1,European Nations League A,Portugal,False
2022-11-16,United Arab Emirates,Argentina,0,5,Friendly,United Arab Emirates,False
2022-11-17,Jordan,Spain,1,3,Friendly,Jordan,False
2022-11-22,Saudi Arabia,Argentina,2,1,World Cup,Qatar,True
2022-11-23,Spain,Costa Rica,7,0,World Cup,Qatar,True
2022-11-26,Argentina,Mexico,2,0,World Cup,Qatar,True
2022-11-27,Germany,Spain,1,1,World Cup,Qatar,True
2022-11-30,Argentina,Poland,2,0,World Cup,Qatar,True
2022-12-01,Japan,Spain,2,1,World Cup,Qatar,True
2022-12-03,Argentina,Australia,2,1,World Cup,Qatar,True
2022-12-06,Morocco,Spain,0,0,World Cup,Qatar,True
2022-12-09,Argentina,Netherlands,2,2,World Cup,Qatar,True
2022-12-13,Argentina,Croatia,3,0,World Cup,Qatar,True
2022-12-18,Argentina,France,3,3,World Cup,Qatar,True
2023-03-23,Argentina,Panama,2,0,Friendly,Argentina,False
2023-03-25,Spain,Norway,3,0,European Championship qual,Spain,False
2023-03-28,Argentina,Curaçao,7,0,Friendly,Argentina,False
2023-03-28,Scotland,Spain,2,0,European Championship qual,Scotland,False
2023-06-15,Argentina,Australia,2,0,Friendly,China,True
2023-06-15,Spain,Italy,2,1,European Nations League,Netherlands,True
2023-06-18,Croatia,Spain,0,0,European Nations League,Netherlands,True
2023-06-19,Indonesia,Argentina,0,2,Friendly,Indonesia,False
2023-09-07,Argentina,Ecuador,1,0,World Cup qualifier,Argentina,False
2023-09-08,Georgia,Spain,1,7,European Championship qual,Georgia,False
2023-09-12,Bolivia,Argentina,0,3,World Cup qualifier,Bolivia,False
2023-09-12,Spain,Cyprus,6,0,European Championship qual,Spain,False
2023-10-12,Argentina,Paraguay,1,0,World Cup qualifier,Argentina,False
2023-10-12,Spain,Scotland,2,0,European Championship qual,Spain,False
2023-10-15,Norway,Spain,0,1,European Championship qual,Norway,False
2023-10-17,Peru,Argentina,0,2,World Cup qualifier,Peru,False
2023-11-16,Argentina,Uruguay,0,2,World Cup qualifier,Argentina,False
2023-11-16,Cyprus,Spain,1,3,European Championship qual,Cyprus,False
2023-11-19,Spain,Georgia,3,1,European Championship qual,Spain,False
2023-11-21,Brazil,Argentina,0,1,World Cup qualifier,Brazil,False
2024-03-22,Colombia,Spain,1,0,Friendly,England,True
2024-03-22,Argentina,El Salvador,3,0,Friendly,United States,True
2024-03-26,Spain,Brazil,3,3,Friendly,Spain,False
2024-03-26,Argentina,Costa Rica,3,1,Friendly,United States,True
2024-06-05,Spain,Andorra,5,0,Friendly,Spain,False
2024-06-08,Spain,Northern Ireland,5,1,Friendly,Spain,False
2024-06-09,Argentina,Ecuador,1,0,Friendly,United States,True
2024-06-14,Argentina,Guatemala,4,1,Friendly,United States,True
2024-06-15,Spain,Croatia,3,0,European Championship,Germany,True
2024-06-20,Spain,Italy,1,0,European Championship,Germany,True
2024-06-20,Argentina,Canada,2,0,Copa América,United States,True
2024-06-24,Spain,Albania,1,0,European Championship,Germany,True
2024-06-25,Argentina,Chile,1,0,Copa América,United States,True
2024-06-29,Argentina,Peru,2,0,Copa América,United States,True
2024-06-30,Spain,Georgia,4,1,European Championship,Germany,True
2024-07-04,Argentina,Ecuador,1,1,Copa América,United States,True
2024-07-05,Germany,Spain,1,2,European Championship,Germany,False
2024-07-09,Spain,France,2,1,European Championship,Germany,True
2024-07-09,Argentina,Canada,2,0,Copa América,United States,True
2024-07-14,Spain,England,2,1,European Championship,Germany,True
2024-07-14,Argentina,Colombia,1,0,Copa América,United States,True
2024-09-05,Serbia,Spain,0,0,European Nations League A,Serbia,False
2024-09-05,Argentina,Chile,3,0,World Cup qualifier,Argentina,False
2024-09-08,Switzerland,Spain,1,4,European Nations League A,Switzerland,False
2024-09-10,Colombia,Argentina,2,1,World Cup qualifier,Colombia,False
2024-10-10,Venezuela,Argentina,1,1,World Cup qualifier,Venezuela,False
2024-10-12,Spain,Denmark,1,0,European Nations League A,Spain,False
2024-10-15,Spain,Serbia,3,0,European Nations League A,Spain,False
2024-10-15,Argentina,Bolivia,6,0,World Cup qualifier,Argentina,False
2024-11-14,Paraguay,Argentina,2,1,World Cup qualifier,Paraguay,False
2024-11-15,Denmark,Spain,1,2,European Nations League A,Denmark,False
2024-11-18,Spain,Switzerland,3,2,European Nations League A,Spain,False
2024-11-19,Argentina,Peru,1,0,World Cup qualifier,Argentina,False
2025-03-20,Netherlands,Spain,2,2,European Nations League,Netherlands,False
2025-03-21,Uruguay,Argentina,0,1,World Cup qualifier,Uruguay,False
2025-03-23,Spain,Netherlands,3,3,European Nations League,Spain,False
2025-03-25,Argentina,Brazil,4,1,World Cup qualifier,Argentina,False
2025-06-05,Spain,France,5,4,European Nations League,Germany,True
2025-06-05,Chile,Argentina,0,1,World Cup qualifier,Chile,False
2025-06-08,Portugal,Spain,2,2,European Nations League,Germany,True
2025-06-10,Argentina,Colombia,1,1,World Cup qualifier,Argentina,False
2025-09-04,Bulgaria,Spain,0,3,World Cup qualifier,Bulgaria,False
2025-09-04,Argentina,Venezuela,3,0,World Cup qualifier,Argentina,False
2025-09-07,Turkey,Spain,0,6,World Cup qualifier,Turkey,False
2025-09-09,Ecuador,Argentina,1,0,World Cup qualifier,Ecuador,False
2025-10-10,Argentina,Venezuela,1,0,Friendly,United States,True
2025-10-11,Spain,Georgia,2,0,World Cup qualifier,Spain,False
2025-10-14,Spain,Bulgaria,4,0,World Cup qualifier,Spain,False
2025-10-14,Argentina,Puerto Rico,6,0,Friendly,United States,True
2025-11-14,Angola,Argentina,0,2,Friendly,Angola,False
2025-11-15,Georgia,Spain,0,4,World Cup qualifier,Georgia,False
2025-11-18,Spain,Turkey,2,2,World Cup qualifier,Spain,False
2026-03-27,Spain,Serbia,3,0,Friendly,Spain,False
2026-03-27,Argentina,Mauritania,2,1,Friendly,Argentina,False
2026-03-31,Argentina,Zambia,5,0,Friendly,Argentina,False
2026-03-31,Spain,Egypt,0,0,Friendly,Spain,False
2026-06-04,Spain,Iraq,1,1,Friendly,Spain,False
2026-06-06,Argentina,Honduras,2,0,Friendly,United States,True
2026-06-08,Spain,Peru,3,1,Friendly,Mexico,True
2026-06-09,Argentina,Iceland,3,0,Friendly,United States,True
2026-06-15,Cape Verde,Spain,0,0,World Cup,United States,True
2026-06-16,Argentina,Algeria,3,0,World Cup,United States,True
2026-06-21,Spain,Saudi Arabia,4,0,World Cup,United States,True
2026-06-22,Argentina,Austria,2,0,World Cup,United States,True
2026-06-26,Spain,Uruguay,1,0,World Cup,Mexico,True
2026-06-27,Argentina,Jordan,3,1,World Cup,United States,True
2026-07-02,Spain,Austria,3,0,World Cup,United States,True
2026-07-03,Argentina,Cape Verde,3,2,World Cup,United States,True
2026-07-06,Spain,Portugal,1,0,World Cup,United States,True
2026-07-07,Argentina,Egypt,3,2,World Cup,United States,True
2026-07-10,Spain,Belgium,2,1,World Cup,United States,True
2026-07-11,Argentina,Switzerland,3,1,World Cup,United States,True
2026-07-14,Spain,France,2,0,World Cup,United States,True
2026-07-15,Argentina,England,2,1,World Cup,United States,True
